id,name,year,group,group_name,status,birth_date,birth_place,gender,alma_mater,undergraduate_major,graduate_major,military_rank,military_force,space_flights_number_of,space_flight_total_hours,space_walks_number_of,space_walks_total_hours,missions,death_date,death_mission
1,M. Scott Carpenter,1959,1,The Mercury Seven,Deceased,5/1/1925,"Boulder, CO",Male,University of Colorado,Aeronautical Engineering,,Commander,US Navy (Retired),1,4,0,0,Mercury 7,10/10/2013,
2,L. Gordon Cooper Jr. ,1959,1,The Mercury Seven,Deceased,3/6/1927,"Shawnee, OK",Male,Air Force Institute of Technology,Aeronautical Engineering,,Colonel,US Air Force (Retired),2,225,0,0,"Mercury 9, Gemini 5",10/4/2004,
3,John H. Glenn Jr. ,1959,1,The Mercury Seven,Deceased,7/18/1921,"Cambridge, OH",Male,Muskingum College,Engineering,,Colonel,US Marine Corps (Retired),2,218,0,0,"Mercury 6, STS-95 (Discovery)",12/8/2016,
4,Virgil I. Grissom,1959,1,The Mercury Seven,Deceased,4/3/1926,"Mitchell, IN",Male,Purdue University,Mechanical Engineering,,Lieutenant Colonel,US Air Force,2,5,0,0,"Mercury 4, Gemini 3, Apollo 1",1/27/1967,Apollo 1
5,Walter M. Schirra Jr. ,1959,1,The Mercury Seven,Deceased,3/12/1923,"Hackensack, NJ",Male,US Naval Academy,Naval Sciences,,Captain,US Navy (Retired),3,295,0,0,"Mercury 8, Gemini 6, Apollo 7",5/2/2007,
6,Alan B. Shepard Jr. ,1959,1,The Mercury Seven,Deceased,11/18/1923,"East Derry, NH",Male,US Naval Academy,Naval Sciences,,Rear Admiral,US Navy (Retired),2,216,2,9,"Mercury 3, Apollo 14",7/21/1998,
7,Donald K. Slayton,1959,1,The Mercury Seven,Deceased,3/1/1924,"Sparta, WI",Male,University of Minnesota,Aeronautical Engineering,,Major,US Air Force Reserves,1,217,0,0,Apollo-Soyuz Test Project,6/13/1993,
8,Neil A. Armstrong,1962,2,The Next Nine,Deceased,8/5/1930,"Wapakoneta, OH",Male,Purdue University; University of Southern California,Aeronautical Engineering,Aerospace Engineering,,,2,205,1,2,"Gemini 8, Apollo 11",8/25/2012,
9,Frank Borman,1962,2,The Next Nine,Retired,3/14/1928,"Gary, IN",Male,US Military Academy; California Institute of Technology,,Aeronautical Engineering,Colonel,US Air Force (Retired),2,477,0,0,"Gemini 7, Apollo 8",,
10,Charles Conrad Jr. ,1962,2,The Next Nine,Deceased,5/2/1930,"Philadelphia, PA",Male,Princeton University,Aeronautical Engineering,,Captain,US Navy (Retired),4,1179,4,12,"Gemini 5, Gemini 11, Apollo 12, Skylab 2",7/8/1999,
11,James A. Lovell Jr. ,1962,2,The Next Nine,Retired,3/25/1928,"Cleveland, OH",Male,US Naval Academy,,,Captain,US Navy (Retired),4,715,0,0,"Gemini 7, Gemini 12, Apollo 8, Apollo 13",,
12,Elliot M. See Jr. ,1962,2,The Next Nine,Deceased,7/23/1927,"Dallas, TX",Male,US Merchant Marine Academy; University of California-Los Angeles,,Engineering,,,0,0,0,0,,2/28/1966,
13,Thomas P. Stafford,1962,2,The Next Nine,Retired,9/17/1930,"Weatherford, OK",Male,US Naval Academy,,,Lieutenant General,US Air Force (Retired),4,507,0,0,"Gemini 6, Gemini 9, Apollo 10, Apollo-Soyuz Test Project",,
14,Edward H. White II ,1962,2,The Next Nine,Deceased,11/14/1930,"San Antonio, TX",Male,US Military Academy; University of Michigan,,Aeronautical Engineering,Lieutenant Colonel,US Air Force,2,97,1,0.5,"Gemini 4, Apollo 1",1/27/1967,Apollo 1
